Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
4431;P;Por;Carnesecchi;Atalanta;19;14;5;19;14;5;80;80
4312;P;Por;Maignan;Milan;19;16;3;19;16;3;91;91
5841;P;Por;Svilar;Roma;19;15;4;19;15;4;106;106
2170;P;Por;Milinkovic-Savic V.;Napoli;17;4;13;17;4;13;31;31
6966;P;Por;Butez;Como;16;10;6;16;10;6;77;77
2814;P;Por;Provedel;Lazio;16;12;4;16;12;4;71;71
2134;P;Por;Falcone;Lecce;16;6;10;16;6;10;40;40
761;P;Por;Audero;Cremonese;13;5;8;13;5;8;11;11
2428;P;Por;Sommer;Inter;13;16;-3;13;16;-3;68;68
5876;P;Por;Di Gregorio;Juventus;13;16;-3;13;16;-3;50;50
133;P;Por;Skorupski;Bologna;12;10;2;12;10;2;10;10
4360;P;Por;Caprile;Cagliari;12;7;5;12;7;5;29;29
6662;P;Por;Corvi;Parma;12;1;11;12;1;11;14;14
2521;P;Por;De Gea;Fiorentina;11;14;-3;11;14;-3;17;17
6462;P;Por;Okoye;Udinese;11;6;5;11;6;5;11;11
4957;P;Por;Montipò;Verona;11;5;6;11;5;6;5;5
4236;P;Por;Muric;Sassuolo;10;3;7;10;3;7;11;11
7332;P;Por;Bijlow;Genoa;10;10;0;10;10;0;13;13
188;P;Por;Leali;Genoa;9;8;1;9;8;1;1;1
2722;P;Por;Ravaglia F.;Bologna;8;3;5;8;3;5;5;5
572;P;Por;Meret;Napoli;8;16;-8;8;16;-8;15;15
2861;P;Por;Semper;Pisa;8;3;5;8;3;5;1;2
5320;P;Por;Paleari;Torino;8;1;7;8;1;7;8;8
6641;P;Por;Suzuki;Parma;7;7;0;7;7;0;5;5
574;P;Por;Scuffet;Pisa;3;3;0;3;3;0;8;8
543;P;Por;Padelli;Udinese;3;1;2;3;1;2;1;1
218;P;Por;Perin;Juventus;2;1;1;2;1;1;1;1
5338;P;Por;Rinaldi;Parma;2;1;1;2;1;1;1;1
2271;P;Por;Nicolas;Pisa;2;1;1;2;1;1;1;1
511;P;Por;Perilli;Verona;2;1;1;2;1;1;1;1
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
4;P;Por;Sportiello;Atalanta;1;1;0;1;1;0;1;1
7172;P;Por;Pessina Mas.;Bologna;1;1;0;1;1;0;1;1
4929;P;Por;Ciocci;Cagliari;1;1;0;1;1;0;1;1
2809;P;Por;Vigorito;Como;1;1;0;1;1;0;1;1
6505;P;Por;Nava;Cremonese;1;1;0;1;1;0;1;1
6403;P;Por;Christensen O.;Fiorentina;1;1;0;1;1;0;1;1
6991;P;Por;Siegrist;Genoa;1;1;0;1;1;0;1;1
219;P;Por;Sommariva;Genoa;1;1;0;1;1;0;1;1
1926;P;Por;Di Gennaro;Inter;1;1;0;1;1;0;1;1
5116;P;Por;Martinez Jo.;Inter;1;2;-1;1;2;-1;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
6417;P;Por;Furlanetto;Lazio;1;1;0;1;1;0;1;1
2401;P;Por;Fruchtl;Lecce;1;1;0;1;1;0;1;1
6523;P;Por;Samooja;Lecce;1;1;0;1;1;0;1;1
2815;P;Por;Terracciano;Milan;1;1;0;1;1;0;1;1
6813;P;Por;Torriani;Milan;1;1;0;1;1;0;1;1
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1
7169;P;Por;Zelezny;Roma;1;1;0;1;1;0;1;1
610;P;Por;Gollini;Roma;1;1;0;1;1;0;1;1
2127;P;Por;Satalino;Sassuolo;1;1;0;1;1;0;1;1
4867;P;Por;Turati;Sassuolo;1;7;-6;1;7;-6;1;1
7179;P;Por;Israel;Torino;1;9;-8;1;9;-8;1;1
6842;P;Por;Sava;Udinese;1;4;-3;1;4;-3;1;1
7185;P;Por;Nunziante;Udinese;1;1;0;1;1;0;1;1
158;P;Por;Lezzerini;Fiorentina;1;1;0;1;1;0;1;1
2211;P;Por;Silvestri;Cremonese;1;1;0;1;1;0;1;1
7236;P;Por;Toniolo;Verona;1;1;0;1;1;0;1;1
7261;P;Por;Cavlina;Como;1;1;0;1;1;0;1;1
7285;P;Por;Ferrante;Napoli;1;1;0;1;1;0;1;1
7042;P;Por;Calligaris;Inter;1;1;0;1;1;0;1;1
7301;P;Por;Tornqvist;Como;1;1;0;1;1;0;1;1
6650;P;Por;Sherri;Cagliari;1;1;0;1;1;0;1;1
7337;P;Por;Motta;Lazio;1;1;0;1;1;0;1;1
7363;P;Por;Siviero;Torino;1;1;0;1;1;0;1;1
254;D;E;Dimarco;Inter;33;19;14;33;18;15;260;260
1852;D;"Ds;E";Spinazzola;Napoli;20;7;13;20;7;13;52;52
2788;D;Dc;Bremer;Juventus;18;13;5;18;13;5;70;70
6832;D;E;Palestra;Cagliari;16;3;13;16;2;14;82;82
6893;D;Dc;Kempf;Como;16;5;11;16;5;11;23;23
2120;D;Dc;Bastoni;Inter;16;16;0;16;16;0;61;61
6217;D;Dc;Bisseck;Inter;16;9;7;16;9;7;40;40
5526;D;Dc;Scalvini;Atalanta;15;8;7;15;8;7;17;17
5022;D;Dc;Pavlovic;Milan;15;7;8;15;7;8;31;31
7181;D;E;Wesley;Roma;15;14;1;15;13;2;43;43
4657;D;"B;Dd;E";Celik;Roma;14;7;7;14;8;6;17;20
5750;D;Dc;Ostigard;Genoa;14;5;9;14;5;9;27;27
4159;D;Dc;Akanji;Inter;14;9;5;14;9;5;63;63
4994;D;"Dd;E";Vojvoda;Como;13;6;7;13;6;7;12;12
4976;D;"Dd;Dc";Kalulu;Juventus;13;9;4;13;10;3;60;63
6496;D;"Ds;E";Bartesaghi;Milan;13;3;10;13;3;10;26;26
6956;D;Dc;Solet;Udinese;13;11;2;13;11;2;57;57
2593;D;"Ds;E";Martin;Genoa;12;10;2;12;10;2;16;16
5877;D;"B;Ds;E";Carlos Augusto;Inter;12;10;2;12;11;1;15;18
5835;D;Dc;Baschirotto;Cremonese;12;8;4;12;8;4;17;17
6869;D;Dc;Ramon;Como;12;4;8;12;4;8;30;30
7219;D;E;Bernasconi;Atalanta;12;1;11;12;1;11;27;24
5678;D;"Dd;E";Holm;Juventus;11;8;3;11;8;3;11;11
6766;D;"Ds;Dc";Kelly L.;Juventus;11;7;4;12;8;4;23;26
5812;D;"Dd;Ds;E";Terracciano F.;Cremonese;11;2;9;11;2;9;13;16
4409;D;Dc;Rrahmani;Napoli;11;11;0;11;11;0;27;27
2816;D;"Dd;E";Di Lorenzo;Napoli;11;14;-3;11;14;-3;35;35
5862;D;"Ds;E";Valeri;Parma;11;10;1;11;10;1;23;23
2296;D;Dc;Mancini;Roma;11;11;0;11;11;0;45;45
4665;D;Dc;Maripan;Torino;11;7;4;11;7;4;16;16
4263;D;Dc;Kabasele;Udinese;11;3;8;11;3;8;9;9
554;D;E;Zappacosta;Atalanta;10;13;-3;10;12;-2;27;27
393;D;Dc;Luperto;Cremonese;10;7;3;10;7;3;14;14
6867;D;"Ds;E";Valle;Como;10;6;4;10;6;4;14;14
5514;D;"Ds;Dc";Vasquez;Genoa;10;9;1;10;10;0;26;28
5513;D;E;Dumfries;Inter;10;20;-10;9;19;-10;25;25
6989;D;Dc;Tiago Gabriel;Lecce;10;1;9;10;1;9;25;25
6642;D;Dc;Coco;Torino;10;8;2;10;8;2;11;11
7220;D;"Dd;E";Belghali;Verona;10;4;6;10;4;6;17;17
4734;D;"Ds;E";Miranda J.;Bologna;9;9;0;9;9;0;13;13
7125;D;"Ds;E";Idrissi R.;Cagliari;9;3;6;9;3;6;12;12
5435;D;"Ds;E";Moreno Alb.;Como;9;3;6;9;3;6;8;8
2160;D;E;Gosens;Fiorentina;9;18;-9;9;17;-8;18;15
6814;D;"Dd;E";Norton-Cuffy;Genoa;9;3;6;9;3;6;22;22
6039;D;"B;Ds;E";Cabal;Juventus;9;5;4;9;5;4;10;12
5520;D;E;Cambiaso;Juventus;9;15;-6;9;14;-5;18;15
4751;D;Dc;Tomori;Milan;9;8;1;9;8;1;31;31
6202;D;Dc;Beukema;Napoli;9;10;-1;9;10;-1;14;14
2724;D;Dc;Buongiorno;Napoli;9;13;-4;9;13;-4;11;11
5527;D;"Dd;E";Zanoli;Udinese;9;3;6;9;3;6;12;12
6663;D;Dc;Circati;Parma;9;5;4;9;5;4;14;14
6664;D;"B;Dd;E";Delprato;Parma;9;8;1;9;9;0;22;25
7143;D;"Ds;E";Angori;Pisa;9;5;4;9;5;4;12;12
4807;D;Dc;Hermoso;Roma;9;3;6;9;3;6;14;14
4317;D;Dc;N'Dicka;Roma;9;10;-1;9;10;-1;39;39
6672;D;Dc;Idzes;Sassuolo;9;7;2;9;7;2;15;15
4433;D;E;Zortea;Bologna;8;16;-8;7;15;-8;13;10
6013;D;"Dd;Ds;E";Barbieri;Cremonese;8;3;5;8;4;4;12;15
5885;D;E;Dodò;Fiorentina;8;11;-3;8;10;-2;33;33
5833;D;Dc;Gila;Lazio;8;9;-1;8;9;-1;20;20
460;D;Dc;Romagnoli;Lazio;8;8;0;8;8;0;22;22
2188;D;"Dd;Ds;E";Marusic;Lazio;8;8;0;8;9;-1;14;17
4502;D;"Ds;E";Gallo;Lecce;8;5;3;8;5;3;13;13
4401;D;Dc;Gabbia;Milan;8;6;2;8;6;2;20;20
5427;D;"Ds;E";Gutierrez;Napoli;8;8;0;8;8;0;12;12
6046;D;Dc;Hien;Atalanta;7;11;-4;7;11;-4;14;14
5578;D;"Dd;Dc";Kossounou;Atalanta;7;9;-2;7;9;-2;10;12
4210;D;Dc;Mina;Cagliari;7;7;0;7;7;0;13;13
5701;D;"Ds;Dc";Obert;Cagliari;7;4;3;7;4;3;16;18
4461;D;"B;Dd;E";Zappa;Cagliari;7;6;1;7;7;0;12;15
7130;D;Dc;Folino;Cremonese;7;4;3;7;4;3;8;8
5449;D;E;Parisi;Fiorentina;7;5;2;7;4;3;15;15
6660;D;Dc;Marcandalli;Genoa;7;3;4;7;3;4;12;12
5739;D;"Dd;Dc";De Winter;Milan;7;8;-1;7;9;-2;10;12
4772;D;E;Angelino;Roma;7;15;-8;7;14;-7;8;8
7155;D;Dc;Muharemovic;Sassuolo;7;5;2;7;5;2;15;15
6485;D;"Dd;Dc";Kristensen T.;Udinese;7;5;2;7;5;2;13;15
6631;D;Dc;Ghilardi;Roma;7;4;3;7;4;3;13;13
697;D;E;Cuadrado;Pisa;7;7;0;6;6;0;8;8
7212;D;"Ds;Dc";Heggem;Bologna;7;4;3;7;5;2;16;19
7255;D;"Dd;Ds;E";Britschgi;Parma;7;1;6;7;1;6;12;15
4137;D;Dc;Diego Carlos;Como;7;5;2;7;5;2;13;13
787;D;Dc;Djimsiti;Atalanta;6;8;-2;6;8;-2;17;17
2640;D;"B;Ds;E";Kolasinac;Atalanta;6;7;-1;6;7;-1;15;18
4887;D;E;Bellanova;Atalanta;6;13;-7;6;12;-6;15;15
6042;D;Dc;Lucumì;Bologna;6;8;-2;6;8;-2;12;12
6495;D;Dc;Comuzzo;Fiorentina;6;7;-1;6;7;-1;15;15
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;6;7;-1;6;7;-1;10;12
5620;D;"Ds;E";Tavares N.;Lazio;6;12;-6;6;12;-6;15;15
6990;D;"Dd;E";Veiga D.;Lecce;6;1;5;6;1;5;14;14
5307;D;Dc;Valenti;Parma;6;4;2;6;4;2;14;14
4374;D;"Dd;Dc";Walukiewicz;Sassuolo;6;5;1;6;6;0;14;16
5851;D;"Ds;E";Doig;Sassuolo;6;6;0;6;6;0;13;13
5010;D;Dc;Ismajli;Torino;6;8;-2;6;8;-2;10;10
5820;D;Dc;Bertola;Udinese;6;6;0;6;6;0;13;13
7211;D;"Dd;E";Athekame;Milan;6;6;0;6;6;0;10;10
7329;D;"Ds;E";Obrador;Torino;6;6;0;6;6;0;11;11
7068;D;Dc;Vitik;Bologna;5;8;-3;5;8;-3;11;11
612;D;Dc;Bianchetti;Cremonese;5;3;2;5;3;2;10;10
5603;D;Dc;Pongracic;Fiorentina;5;5;0;5;5;0;12;12
7069;D;E;Fortini;Fiorentina;5;3;2;5;3;2;9;9
513;D;Dc;Acerbi;Inter;5;9;-4;5;9;-4;9;9
5831;D;Dc;Gatti;Juventus;5;8;-3;5;8;-3;8;7
7012;D;Dc;Provstgaard;Lazio;5;3;2;5;3;2;7;7
2728;D;"Ds;E";Pellegrini Lu.;Lazio;5;3;2;5;3;2;9;9
6632;D;Dc;Gaspar K.;Lecce;5;8;-3;5;8;-3;14;14
7139;D;Dc;Canestrelli;Pisa;5;3;2;5;3;2;12;12
2273;D;Dc;Caracciolo A.;Pisa;5;4;1;5;4;1;12;12
4385;D;"Dd;E";Lazaro;Torino;5;7;-2;5;7;-2;12;12
5532;D;"Ds;E";Bradaric;Verona;5;4;1;5;4;1;11;11
6550;D;"B;Ds;E";Garcia U.;Sassuolo;5;3;2;6;4;2;12;14
6916;D;"B;Ds;E";Ahanor;Atalanta;4;6;-2;4;7;-3;10;12
7014;D;"Dd;Dc";Smolcic I.;Como;4;2;2;4;2;2;12;12
7131;D;"Dd;E";Floriani Mussolini;Cremonese;4;5;-1;4;5;-1;10;10
770;D;"Ds;E";Pezzella Giu.;Cremonese;4;5;-1;4;5;-1;10;10
2263;D;"Dd;E";Lazzari;Lazio;4;4;0;4;4;0;8;8
256;D;"Ds;Dc";Juan Jesus;Napoli;4;3;1;4;3;1;15;18
2745;D;"B;Dd;E";Calabresi;Pisa;4;3;1;4;4;0;7;9
6986;D;"B;Dd;E";Rensch;Roma;4;5;-1;5;6;-1;10;12
6426;D;"Dd;E";Pedersen;Torino;4;4;0;4;4;0;12;12
6047;D;"Dd;E";Ehizibue;Udinese;4;5;-1;4;5;-1;8;8
5555;D;"Ds;E";Kamara H.;Udinese;4;7;-3;4;7;-3;14;14
6211;D;"Ds;E";Zemura;Udinese;4;3;1;4;3;1;8;8
6639;D;"Ds;E";Frese;Verona;4;3;1;4;3;1;12;12
7018;D;Dc;Nelsson;Verona;4;5;-1;4;5;-1;13;13
