Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
2428;P;Por;Sommer;Inter;17;15;2;17;15;2;120;120
453;P;Por;Szczesny;Juventus;16;15;1;16;15;1;100;100
5841;P;Por;Svilar;Roma;16;1;15;16;1;15;70;70
5876;P;Por;Di Gregorio;Monza;16;12;4;16;12;4;80;80
133;P;Por;Skorupski;Bologna;15;10;5;15;10;5;65;65
2815;P;Por;Terracciano;Fiorentina;15;10;5;15;10;5;65;65
4431;P;Por;Carnesecchi;Atalanta;15;11;4;15;11;4;65;65
2170;P;Por;Milinkovic-Savic V.;Torino;14;10;4;14;10;4;65;65
4360;P;Por;Caprile;Empoli;14;7;7;14;7;7;25;25
572;P;Por;Meret;Napoli;13;17;-4;13;17;-4;55;55
4957;P;Por;Montipo';Verona;13;7;6;13;7;6;20;20
2134;P;Por;Falcone;Lecce;12;8;4;12;8;4;25;25
2814;P;Por;Provedel;Lazio;12;16;-4;12;16;-4;55;55
5116;P;Por;Martinez Jo.;Genoa;12;8;4;12;8;4;40;40
6462;P;Por;Okoye;Udinese;12;1;11;12;1;11;20;20
6482;P;Por;Mandas;Lazio;11;1;10;11;1;10;1;1
4312;P;Por;Maignan;Milan;10;17;-7;10;17;-7;75;75
2722;P;Por;Ravaglia F.;Bologna;9;1;8;9;1;8;1;1
509;P;Por;Consigli;Sassuolo;7;5;2;7;5;2;14;14
574;P;Por;Scuffet;Cagliari;7;1;6;7;1;6;15;15
4270;P;Por;Rui Patricio;Roma;7;14;-7;7;14;-7;5;5
4867;P;Por;Turati;Frosinone;7;5;2;7;5;2;12;12
4;P;Por;Sportiello;Milan;6;1;5;6;1;5;2;2
761;P;Por;Audero;Inter;6;1;5;6;1;5;1;1
2792;P;Por;Musso;Atalanta;5;3;2;5;3;2;5;5
218;P;Por;Perin;Juventus;4;1;3;4;1;3;2;2
2294;P;Por;Cerofolini;Frosinone;4;1;3;4;1;3;1;1
6120;P;Por;Ochoa;Salernitana;4;9;-5;4;9;-5;10;10
316;P;Por;Berisha;Empoli;3;1;2;3;1;2;1;1
511;P;Por;Perilli;Verona;3;1;2;3;1;2;1;1
1926;P;Por;Di Gennaro;Inter;3;1;2;3;1;2;1;1
1930;P;Por;Pinsoglio;Juventus;3;1;2;3;1;2;1;1
2297;P;Por;Rossi F.;Atalanta;3;1;2;3;1;2;1;1
188;P;Por;Leali;Genoa;2;1;1;2;1;1;1;1
610;P;Por;Gollini;Napoli;2;1;1;2;1;1;5;5
1946;P;Por;Aresti;Cagliari;2;1;1;2;1;1;1;1
1947;P;Por;Fiorillo;Salernitana;2;1;1;2;1;1;1;1
2178;P;Por;Cragno;Sassuolo;2;4;-2;2;4;-2;1;1
2211;P;Por;Silvestri;Udinese;2;9;-7;2;9;-7;1;1
5853;P;Por;Sorrentino A.;Monza;2;1;1;2;1;1;1;1
3;P;Por;Radunovic;Cagliari;1;8;-7;1;8;-7;1;1
41;P;Por;Mirante;Milan;1;1;0;1;1;0;1;1
159;P;Por;Sepe;Lazio;1;1;0;1;1;0;1;1
219;P;Por;Sommariva;Genoa;1;1;0;1;1;0;1;1
510;P;Por;Pegolo;Sassuolo;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
673;P;Por;Perisan;Empoli;1;2;-1;1;2;-1;1;1
2338;P;Por;Costil;Salernitana;1;1;0;1;1;0;1;1
2799;P;Por;Frattali;Frosinone;1;1;0;1;1;0;1;1
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1
4351;P;Por;Brancolini;Lecce;1;1;0;1;1;0;1;1
4491;P;Por;Berardi A.;Verona;1;1;0;1;1;0;1;1
4525;P;Por;Gemello;Torino;1;1;0;1;1;0;1;1
5304;P;Por;Boer;Roma;1;1;0;1;1;0;1;1
5822;P;Por;Bagnolini;Bologna;1;1;0;1;1;0;1;1
6184;P;Por;Martinelli T.;Fiorentina;1;1;0;1;1;0;1;1
6210;P;Por;Popa;Torino;1;1;0;1;1;0;1;1
6255;P;Por;Gori;Monza;1;1;0;1;1;0;1;1
6403;P;Por;Christensen O.;Fiorentina;1;3;-2;1;3;-2;1;3
6406;P;Por;Borbei;Lecce;1;1;0;1;1;0;1;1
6505;P;Por;Nava;Milan;1;1;0;1;1;0;1;1
6509;P;Por;Gasperini T.;Bologna;1;1;0;1;1;0;1;1
6523;P;Por;Samooja;Lecce;1;1;0;1;1;0;1;1
6569;P;Por;Stolz;Genoa;1;1;0;1;1;0;1;1
254;D;E;Dimarco;Inter;24;19;5;24;18;6;150;150
4433;D;"Dd;Ds;E";Zortea;Frosinone;16;3;13;16;4;12;55;60
5513;D;E;Dumfries;Inter;16;12;4;15;11;4;85;85
2724;D;Dc;Buongiorno;Torino;15;11;4;15;11;4;90;90
4292;D;"Ds;E";Hernandez T.;Milan;15;17;-2;15;17;-2;100;100
513;D;Dc;Acerbi;Inter;14;11;3;14;11;3;90;90
2120;D;Dc;Bastoni;Inter;14;13;1;14;13;1;85;85
2788;D;Dc;Bremer;Juventus;14;13;1;14;13;1;80;80
4887;D;"Dd;E";Bellanova;Torino;14;8;6;14;8;6;65;65
5877;D;E;Carlos Augusto;Inter;14;17;-3;14;17;-3;27;27
2525;D;"Dd;Dc";Darmian;Inter;13;11;2;13;13;0;48;52
4945;D;"Ds;E";Calafiori;Bologna;13;4;9;13;4;9;75;75
5323;D;Dc;Martinez Quarta;Fiorentina;13;6;7;13;6;7;50;45
